author,category,content,country,description,publishedAt,source,title,url,urlToImage
,technology,,deu,,2021-12-07T08:47:15Z,Google News,Successful MMO Myth of Empires has disappeared from Steam without a trace - Developer speaks out - My-MMO,https://news.google.com/__i/rss/rd/articles/CBMiO2h0dHBzOi8vbWVpbi1tbW8uZGUvbXl0aC1vZi1lbXBpcmVzLXZvbi1zdGVhbS12ZXJzY2h3dW5kZW4v0gE_aHR0cHM6Ly9tZWluLW1tby5kZS9teXRoLW9mLWVtcGlyZXMtdm9uLXN0ZWFtLXZlcnNjaHd1bmRlbi9hbXAv?oc=5,
,technology,"Pour le gestionnaire du réseau électrique français, l'emplacement des futures centrales devra tenir compte du changement climatique.
L'emplacement des futurs réacteurs nucléaires en France devrait t… [+2492 chars]",fra,"Pour le gestionnaire du réseau électrique français, l'emplacement des futures centrales devra tenir compte du changement climatique.",2021-12-07T15:43:21Z,BFMTV,New nuclear power plants: RTE pleads for locations near the sea - BFMTV,https://www.bfmtv.com/economie/entreprises/energie/nouvelles-centrales-nucleaires-rte-plaide-pour-des-emplacements-pres-de-la-mer_AD-202112070347.html,https://images.bfmtv.com/nPRU-JVGVcUH30UPsavNbX-JE9w=/0x40:768x472/768x0/images/Les-cheminees-de-la-centrale-nucleaire-de-Cattenom-le-2-juin-2020-1157871.jpg
,technology,"Univers Freebox vous propose de découvrir l’application Notifications for Android TV. Elle permet, comme son nom l’indique, de recevoir les notifications depuis son smartphone, mais pas seulement.
S… [+3148 chars]",fra,"Univers Freebox vous propose de découvrir l’application Notifications for Android TV. Elle permet, comme son nom l’indique, de recevoir les notifications depuis son smartphone, mais pas seulement. Si vous êtes toujours à l’affut de vos notifications, voici un…",2021-12-07T15:26:57Z,Univers Freebox,"Freebox Pop and mini 4K subscribers, you can receive notifications from your smartphone on your phone. - Freebox universe",https://www.universfreebox.com/article/510241/abonnes-freebox-pop-et-mini-4k-vous-pouvez-recevoir-les-notifications-de-votre-smartphone-sur-votre-televiseur,https://www.universfreebox.com/wp-content/uploads/2021/04/freebox-pop-mini-4K.jpg
Fanny Dufour,technology,"Après avoir été victime d'un vol lui ayant fait perdre 119 millions de dollars, la plateforme BadgerDAO essaie d'amadouer son attaquant pour retrouver son argent. 
Elle lui promet entre autres une r… [+2353 chars]",fra,"Après avoir été victime d'un vol lui ayant fait perdre 119 millions de dollars, la plateforme BadgerDAO essaie d'amadouer son attaquant pour retrouver son argent.",2021-12-07T15:05:00Z,Clubic,"BadgerDAO, victim of $119m crypto heist, begs thief to return money - Clubic",https://www.clubic.com/antivirus-securite-informatique/virus-hacker-piratage/piratage-informatique/actualite-397527-badgerdao-victime-du-braquage-de-crypto-a-119-millions-supplie-ses-voleurs-de-rendre-l-argent.html,https://pic.clubic.com/v1/images/1852532/raw?width=900&height=600&fit=max&hash=504feaf35626a29f721a182a54c2c62f2ab8b2e4
Lionel Steinmann,technology,"L'assembleur attitré des iPhones d'Apple, le leader de la course vers la voiture autonome et un spécialiste allemand du haut de gamme automobile : pour mener à bien sa stratégie logiciel pour les dix… [+2685 chars]",fra,Stellantis va nouer des partenariats avec ces trois entreprises pour se doter de semi-conducteurs plus « flexibles » et progresser vers la conduite autonome.,2021-12-07T15:03:44Z,Les Echos,"Foxconn, Waymo, BMW... Carlos Tavares and Stellantis's high-end casting - Les Echos",https://www.lesechos.fr/industrie-services/automobile/foxconn-waymo-bmw-le-casting-haut-de-gamme-de-carlos-tavares-et-stellantis-1370493,https://media.lesechos.com/api/v1/images/view/61af7829d286c278d636b346/1280x720/070491553570-web-tete.jpg
,technology,[AVIS D'EXPERT] Les banques se sont davantage consacrées ces dernières années à l'expérience clients qu'aux services proposés. Et leurs clients se tournent vers des solutions fournies par des fintech… [+4475 chars],fra,"[AVIS D'EXPERT] Les banques se sont davantage consacrées ces dernières années à l'expérience clients qu'aux services proposés. Et leurs clients se tournent vers des solutions fournies par des fintechs. Décryptage avec notre expert Guillaume Almeras, fondateur…",2021-12-07T15:03:17Z,BFMTV,Banks are beginning to realise that their customers are less and less captive - BFMTV,https://www.bfmtv.com/economie/experts/guillaume-almeras/les-banques-commencent-a-realiser-que-leurs-clients-sont-de-moins-en-moins-captifs_AN-202112070333.html,https://images.bfmtv.com/FlOkZJnIGdjglQi6ucVpeswvF-M=/0x66:1280x786/1280x0/images/-477358.jpg
Romain Ribout,technology,"Avant Xiaomi, Honor était sans aucun doute le champion du rapport qualité-prix dans l'hexagone. La marque chinoise tente aujourd'hui de redorer son blason d'antan avec des smartphones de nouveau comp… [+5205 chars]",fra,"Avant Xiaomi, Honor était sans aucun doute le champion du rapport qualité-prix dans l'hexagone. La marque chinoise tente aujourd'hui de redorer son blason d'antan avec des smartphones de nouveau compatibles avec les services de Google, et son Honor 50 en fait…",2021-12-07T14:55:56Z,Frandroid,Honor becomes a value-for-money champion again with this promotion on the Honor 50 - Frandroid,https://www.frandroid.com/bons-plans/1149491_le-honor-50-avec-les-services-google-est-moins-cher-quau-black-friday,https://images.frandroid.com/wp-content/uploads/2021/11/honor-50-module-photo-scaled.jpg
Marco Mosca,technology,"Les Numériques fait un pas supplémentaire vers la réparabilité. Après avoir intégré les offres de seconde main dans nos tableaux, et l'indice de réparabilité dans nos tests, voici une série vidéo pou… [+3590 chars]",fra,"Les Numériques fait un pas supplémentaire vers la réparabilité. Après avoir intégré les offres de seconde main dans nos tableaux, et l'indice de réparabilité dans nos tests, voici une série vidéo pour bien réparer vos appareils tech.",2021-12-07T14:36:00Z,Les Numériques,Les Numériques tackles tech device repair in video tutorial - Les Numériques,https://www.lesnumeriques.com/vie-du-net/les-numeriques-s-attaque-a-la-reparation-des-appareils-tech-en-tuto-video-n172485.html,https://dyw7ncnq1en5l.cloudfront.net/optim/news/17/172485/d17b2dfa-les-numeriques-s-attaque-a-la-reparation-des-appareils-tech-en-tuto-video__1200_630__0-144-3840-2160_wtmk.jpeg
Nathan Le Gohlisse,technology,"Comme le rappelle TechPowerUp, le 4700S disposait d'un seul emplacement PCIe x4 Gen 2.0, ce qui le limitait à prendre seulement en charge des cartes graphiques
 entrée de gamme. Cela réduisait aussi… [+260 chars]",fra,"L'AMD 4700S Desktop Kit avait fait parler de lui pour sa proximité technologique avec la PlayStation 5
. Eh bien, il sera remplacé prochainement. AMD prévoit en effet l'arrivée d'un 4800S dès le début d'année prochaine.",2021-12-07T14:30:00Z,Clubic,"AMD 4800S Desktop Kit: the successor to the ""PlayStation 5 kit"" will arrive in 2022 - Clubic",https://www.clubic.com/pro/entreprise/amd/actualite-397509-amd-4800s-desktop-kit-le-successeur-du-kit-playstation-5-arrivera-bien-en-2022.html,https://pic.clubic.com/v1/images/1949565/raw?width=900&height=600&fit=max&hash=44b447a8633c987c340cae0fb9ecd3a112da908d
Matt_Clank,technology,"Événement rare en ce moment : on vous a trouvé une carte graphique qui vaut le coup ! En effet, cette dernière est proposée à un prix (pas trop) excessif, et elle vous permettra en plus de profiter d… [+2955 chars]",fra,"Événement rare en ce moment : on vous a trouvé une carte graphique qui vaut le coup ! En effet, cette dernière est proposée à un prix (pas trop) excessif, et elle vous permettra en plus de profiter des derniers jeux du moment ! Disponible pour un peu moins de…",2021-12-07T14:05:01Z,jeuxvideo.com,Finally a graphics card at an (almost) decent price - jeuxvideo.com,https://www.jeuxvideo.com/news/1503708/enfin-une-carte-graphique-a-un-prix-presque-decent.htm,https://image.jeuxvideo.com/medias-md/163888/1638883647-3113-card.png
Mon Livret,technology,"Selon Whalestat, une baleine crypto vient d’ajouter 99 milliards de Shiba Inu, d’une valeur de 3 799 999 $, à son portefeuille. Le Shiba Inu rebondit après avoir touché son plus bas niveau à 0,000032… [+1273 chars]",fra,"Selon Whalestat, une baleine crypto vient d'ajouter 99 milliards de Shiba Inu, d'une valeur de 3 799 999 $, à",2021-12-07T13:48:56Z,Mon-livret.fr,SHIB: A whale buys 99 billion Shiba Inu! - My Booklet,https://www.mon-livret.fr/shib-une-baleine-achete-99-milliards-de-shiba-inu.html,https://www.mon-livret.fr/wp-content/uploads/2021/11/shiba-inu-millionaire.jpeg
Noëllie Mautaint,technology,"Aussi farfelu que cela puisse paraître, le marché de limmobilier du metaverse, le réseau despaces virtuels interconnectés, est déjà en train de flamber.
Rien que la semaine dernière, plus de 100 mil… [+1246 chars]",fra,"Aussi farfelu que cela puisse paraître, le marché de l’immobilier du metaverse
, le réseau d’espaces virtuels interconnectés, est déjà en train de flamber.",2021-12-07T13:45:00Z,Clubic,Can you afford a flat in the metaverse? Over $100 million already spent on virtual real estate - Clubic,https://www.clubic.com/technologies-d-avenir/actualite-397500-arriverez-vous-a-vous-payer-un-appart-dans-le-metaverse-plus-de-100-millions-de-dollars-deja-depenses-en-immobilier-virtuel.html,https://pic.clubic.com/v1/images/1940175/raw?width=900&height=600&fit=max&hash=68c588b4f14e57eae06bb69526da159e3aa1827b
Guillaume Sonnet,technology,"Pour une fois, SFR n'a pas attendu de s'aligner sur ses concurrents pour proposer son offre Fibre à bas prix. L'opérateur rouge profite de la saison de Noël pour sacrifier le prix de sa SFR Box 7 qui… [+3312 chars]",fra,"Pour une fois, SFR n'a pas attendu de s'aligner sur ses concurrents pour proposer son offre Fibre à bas prix. L'opérateur rouge profite de la saison de Noël pour sacrifier le prix de sa SFR Box 7 qui se retrouve aujourd'hui à seulement 10 euros par mois.",2021-12-07T11:30:14Z,Frandroid,SFR currently offers the cheapest fibre: only €10/month - Frandroid,https://www.frandroid.com/bons-plans/1148903_sfr-propose-actuellement-la-fibre-la-moins-chere-seulement-10-e-mois,https://images.frandroid.com/wp-content/uploads/2021/12/fibre-sfr-10-euros.jpg
Elsa Rouden,technology,"Quels sont les meilleurs jeux de 2021 selon les équipes de l'App Store et du Play Store Google ? A l'occasion du passage à l'année 2022, les spécialistes d'iOS et Android ont désigné leurs lauréats, … [+2744 chars]",fra,"Des jeux de stratégie à ceux d’arcade, découvrez le classement des meilleures apps jouables de l’année, selon l’App Store et le Play Store Google.",2021-12-07T11:28:59Z,Femina.fr,Awards: here is the official ranking of the best video games of 2021 on Android and iOS - Version Femina,https://www.femina.fr/article/palmares-voici-le-classement-officiel-des-meilleurs-jeux-video-de-2021-disponibles-sur-android-et-ios,"https://resize.prod.femina.ladmedia.fr/rblr/1401,978/img/var/2021-12/meilleurs-jeux-android-iphone-2021.jpg"
Louis Neveu,technology,Microsoft a pris le contrôle de nombreux sites Web utilisés par un groupe de hackers soutenu par le gouvernement chinois. Ils permettaient de mener des attaques pour cyberespionner des organisations … [+3354 chars],fra,Microsoft a pris le contrôle de nombreux sites Web utilisés par un groupe de hackers soutenu par le gouvernement chinois. Ils permettaient de mener des attaques pour cyberespionner des...,2021-12-07T10:41:21Z,Futura,Microsoft scores a point in its fight against Chinese-backed hackers - Futura-Sciences,https://www.futura-sciences.com/tech/actualites/cybersecurite-microsoft-marque-point-lutte-pirates-soutenus-chine-95403/,https://cdn.futura-sciences.com/buildsv6/images/wide1920/6/5/3/65333a14ff_50184036_hacker-action.jpg
Matt_Clank,technology,"Rue du Commerce propose en ce moment une très belle promotion sur lécran PC incurvé de chez Gigabyte. Ce dernier affiche une résolution en 1440p avec une dalle particulièrement réactive, idéal pour l… [+2559 chars]",fra,"Rue du Commerce propose en ce moment une très belle promotion sur l’écran PC incurvé de chez Gigabyte. Ce dernier affiche une résolution en 1440p avec une dalle particulièrement réactive, idéal pour le gaming ! En plus il est proposé avec une belle réduction …",2021-12-07T10:38:26Z,jeuxvideo.com,The 32-inch gamer PC monitor 1440p ultra-responsive under 350€! - jeuxvideo.com,https://www.jeuxvideo.com/news/1503614/l-ecran-pc-gamer-32-pouces-gamer-1440p-ultra-reactif-passe-sous-les-350.htm,https://image.jeuxvideo.com/medias-md/163887/1638873486-6149-card.png
,technology,,fra,,2021-12-07T10:36:03Z,Google News,"""We're being let down! 1,900 jobs threatened at Orange service provider - Ouest-France",https://news.google.com/__i/rss/rd/articles/CBMigwFodHRwczovL3d3dy5vdWVzdC1mcmFuY2UuZnIvaGlnaC10ZWNoL29yYW5nZS8xOTAwLWVtcGxvaXMtbWVuYWNlcy1jaGV6LXVuLXByZXN0YXRhaXJlLWQtb3JhbmdlLWMwZDAzZWNjLTU3NDYtMTFlYy04MDkwLTI5NjJjM2Y5NjhlZtIBgwFodHRwczovL2FtcC5vdWVzdC1mcmFuY2UuZnIvaGlnaC10ZWNoL29yYW5nZS8xOTAwLWVtcGxvaXMtbWVuYWNlcy1jaGV6LXVuLXByZXN0YXRhaXJlLWQtb3JhbmdlLWMwZDAzZWNjLTU3NDYtMTFlYy04MDkwLTI5NjJjM2Y5NjhlZg?oc=5,
,technology,"À l'approche des fêtes de fin d'année, la recherche de cadeaux s'intensifie, et certains acheteurs sont prêts à tout pour recevoir leurs produits avant le 25 décembre. Il faut cependant se méfier de … [+5183 chars]",fra,Ce livre de science-fiction vous était vendu sur Amazon grâce à un mensonge honteux.,2021-12-07T10:22:19Z,Hitek.fr,Amazon: this SF book was sold to you thanks to a shameful lie - Hitek.fr,https://hitek.fr/actualite/amazon-arnaque-livres-vieux-mensonges_32017,https://static.hitek.fr/img/actualite/ill_m/1486018031/livresmensonge.jpg
Geoffroy Husson,technology,"Une vidéo permet de découvrir un prototype d'objectif rétractable développé par Oppo pour ses futurs smartphones. 
Lappareil photo rétractable dOppo // Source : Oppo
Oppo est bien connu pour ses in… [+3285 chars]",fra,Une vidéo permet de découvrir un prototype d'objectif rétractable développé par Oppo pour ses futurs smartphones.,2021-12-07T10:20:07Z,Frandroid,Oppo develops retractable lens for upcoming smartphones - Frandroid,https://www.frandroid.com/marques/oppo/1148895_oppo-developpe-un-objectif-retractable-pour-ses-prochains-smartphones,https://images.frandroid.com/wp-content/uploads/2021/12/oppo-retractable.jpg
Grégoire Huvelin,technology,"Selon des nouveaux rendus signés OnLeaks, la future Samsung Galaxy Tab S8 Ultra pourrait bel et bien accueillir deux capteurs avant dans son encoche.
Source : OnLeaks avec 91Mobiles
Après plusieurs… [+2797 chars]",fra,"Selon des nouveaux rendus signés OnLeaks, la future Samsung Galaxy Tab S8 Ultra pourrait bel et bien accueillir deux capteurs avant dans son encoche.",2021-12-07T10:16:25Z,Frandroid,Samsung Galaxy Tab S8 Ultra: its notch would not be there for nothing unlike the MacBook Pro 2021 - Frandroid,https://www.frandroid.com/marques/samsung/1148959_samsung-galaxy-tab-s8-ultra-son-encoche-ne-serait-pas-la-pour-rien-contrairement-aux-macbook-pro-2021,https://images.frandroid.com/wp-content/uploads/2021/10/samsung-galaxy-tab-s8-ultra-4-scaled.jpg
Charles Sannat,technology,"C’est un article du site Investing duquel on peut partir pour livrer une analyse qui peut aller un peu plus loin que l’écume des choses dont on n’a que trop l’habitude.
« Les cryptomonnaies, menées … [+5486 chars]",fra,"C’est un article du site Investing duquel on peut partir pour livrer une analyse qui peut aller un peu plus loin que l’écume des choses dont on n’a que trop l’habitude. « Les cryptomonnaies, menées par le Bitcoin, ont connu un nouveau crash ce weekend, le BTC…",2021-12-07T10:14:49Z,Insolentiae.com,Bitcoin crash. What if the queen of cryptocurrencies behaved like gold? - Insolentiae,https://insolentiae.com/?p=501647,https://insolentiae.com/wp-content/uploads/bitcoin-crash.jpg
Barbara Krasnoff,technology,"Things we love but dont want to admit to
If you buy something from a Verge link, Vox Media may earn a commission. See our ethics statement.
Photo: Ember Technologies
We all have stuff that weve bo… [+10521 chars]",usa,"We asked the staff of The Verge what some of their guilty pleasures are, and the braver among us volunteered some answers.",2021-12-07T15:42:25Z,The Verge,The Verge’s favorite guilty pleasures - The Verge,https://www.theverge.com/22820219/guilty-pleasures-ice-halo-dyson-sims,https://cdn.vox-cdn.com/thumbor/drSm8YEs54SwvUJ4mEN9ugfTt_E=/0x286:1200x914/fit-in/1200x630/cdn.vox-cdn.com/uploads/chorus_asset/file/23069913/ember_cup_with_phone.jpeg
,technology,,usa,"Serious Sam 4 is available now on PS5, Xbox Series X|S, and Game Pass. Watch the action-packed Serious Sam 4 trailer for another look at the prequel to the S...",2021-12-07T15:30:03Z,YouTube,Serious Sam 4 - Official PS5 and Xbox Series X|S Launch Trailer - IGN,https://www.youtube.com/watch?v=BkamisPwkj0,https://i.ytimg.com/vi/BkamisPwkj0/maxresdefault.jpg
Chaim Gartenberg,technology,PC release still nebulously set for sometime in 2022,usa,"The remastered Uncharted: Legacy of Thieves Collection is coming to the PS5 on January 28th, with owners of Uncharted 4 and Lost Legacy able to upgrade for $10 instead of the full $50 price.",2021-12-07T14:56:25Z,The Verge,Uncharted’s remastered Legacy of Thieves Collection is coming to PS5 on January 28th - The Verge,https://www.theverge.com/2021/12/7/22822130/uncharted-legacy-of-thieves-collection-ps5-remaster-price-release-date-upgrade,https://cdn.vox-cdn.com/thumbor/4C81c7mEWt0-vJYZ938gZMeaLmE=/0x60:3118x1692/fit-in/1200x630/cdn.vox-cdn.com/uploads/chorus_asset/file/23069959/Screen_Shot_2021_12_07_at_9.44.36_AM.png
Jennifer Pattison Tuohy,technology,"With Alexa Together, its first paid service in the space, Amazon is making a big play for the lucrative elder care market
If you buy something from a Verge link, Vox Media may earn a commission. See… [+8327 chars]",usa,"A new Alexa voice assistant service from Amazon, Alexa Together replaces Care Hub and is designed to assist in elder care by helping caregivers monitor loved ones remotely.",2021-12-07T14:00:00Z,The Verge,Amazon’s Alexa Together launches today offering more elder care features - The Verge,https://www.theverge.com/2021/12/7/22822026/amazon-alexa-together-elder-care-price-features-release-date,https://cdn.vox-cdn.com/thumbor/xcEP8S19_J7saZktVPB3k6OJq2s=/0x156:8000x4344/fit-in/1200x630/cdn.vox-cdn.com/uploads/chorus_asset/file/23069695/Alexa_Together_app.png
Dieter Bohn,technology,"The PC guys are not going to just, you know, knock this out
In 1998, Donna Dubinsky and Jeff Hawkins quit Palm, a company theyd founded, to begin a new one: Handspring. They had a simple goal in min… [+8624 chars]",usa,"Years before the iPhone, a tiny startup called Handspring tried to create the smartphone before the technology world was ready. In this documentary, Dieter Bohn explores the history of the Treo with Jeff Hawkins, Donna Dubinsky, and Jeff Hawkins.",2021-12-07T14:00:00Z,The Verge,Springboard: the history of the first real smartphone is now on Youtube - The Verge,https://www.theverge.com/2021/12/7/22820571/springboard-handspring-documentary-youtube,https://cdn.vox-cdn.com/thumbor/JwMJjZ6RpWhWB86i6QHDm5WHxW8=/0x75:3840x2085/fit-in/1200x630/cdn.vox-cdn.com/uploads/chorus_asset/file/22892324/Springboard_Thumb.jpg
Kishan Vyas,technology,"OPPO is all set to host its annual OPPO INNO DAY event in China next week, where the Chinese smartphone maker will showcase cutting-edge smartphone hardware, concept products, and other technological… [+1800 chars]",usa,OPPO has teased a self-developed retractable camera that could debut on an upcoming OPPO flagship. Read on to know more.,2021-12-07T13:29:00Z,XDA Developers,OPPO shows off a retractable camera ahead of INNODAY 2021 - XDA Developers,https://www.xda-developers.com/oppo-teases-retractable-camera/,https://www.xda-developers.com/files/2021/12/Screenshot-2021-12-07-at-6.50.07-PM.jpg
David Nield,technology,"Google Maps continues to get new features and updates more often than youd think, and if you havent been paying attention, you might have missed a number of changes that can make getting around a lot… [+310 chars]",usa,Take advantage of these little-known features to get around a little easier.,2021-12-07T13:00:00Z,Gizmodo.com,10 Important Google Maps Settings You Probably Don't Know About - Gizmodo,https://gizmodo.com/10-important-google-maps-settings-you-probably-dont-kno-1848164083,"https://i.kinja-img.com/gawker-media/image/upload/c_fill,f_auto,fl_progressive,g_center,h_675,pg_1,q_80,w_1200/d544c5dd3d8c0b77a6c389d3312d4822.jpg"
https://www.engadget.com/about/editors/mat-smith,technology,"Thats a digital Keanu and, yes, Epic Games interactive demo ties into The Matrix Resurrections feature film landing later this month. On December 9th, The Matrix Awakens will be available on your Pla… [+4535 chars]",usa,"Today’s tech headlines: 

The latest Unreal Engine demo is ‘The Matrix Awakens’, Conceptual hydrogen-powered plane could fly halfway around the world without refueling, and Instagram launches Take a Break and other safety features for teens.",2021-12-07T12:16:07Z,Engadget,The Morning After: The latest Unreal Engine demo is ‘The Matrix Awakens’ - Engadget,https://www.engadget.com/the-morning-after-the-latest-unreal-engine-demo-is-the-matrix-awakens-121518809.html,https://s.yimg.com/os/creatr-uploaded-images/2021-12/beb9a050-574c-11ec-bfcf-4012fd9e8060
SamMobile,technology,"Samsung took a giant leap of faith when it dropped Tizen in favor of Google’s Wear OS for its new smartwatches. Thankfully, the Galaxy Watch 4 was very well received, and that is being reflected thro… [+1536 chars]",usa,Samsung took a giant leap of faith when it dropped Tizen in favor of Google's Wear OS for its new ...,2021-12-07T12:03:00Z,SamMobile,Galaxy Watch 4 single-handedly takes Samsung to second position in wearable segment - SamMobile,https://www.sammobile.com/news/samsung-world-second-biggest-wearable-brand-q3-2021/,"https://www.sammobile.com/cdn-cgi/image/fit=scale-down,format=auto,quality=85,width=640/wp-content/uploads/2021/10/Samsung-Galaxy-Watch-4-Watch-Faces-720x405.jpg"
Matthew Reynolds,technology,"After a year delay, Halo Infinite is releasing in its entirety for PC and Xbox players.
Following the release of multiplayer after a surprise beta launch last month, the campaign sees the return of … [+2468 chars]",usa,"The Halo Infinite release start times in UK, GMT, CEST, EST and PST explained, as well as download size and pre-order times.",2021-12-07T11:34:09Z,Eurogamer.net,"Halo Infinite release time, download size and campaign pre-load explained - Eurogamer.net",https://www.eurogamer.net/articles/halo-infinite-release-time-download-size-pre-load-8031,https://images.gnwcdn.com/2021/articles/2021-12-07-11-08/halo-infinite-release-time-download-size-pre-load-8031-1638875320539.jpg/EG11/resize/1200x-1/halo-infinite-release-time-download-size-pre-load-8031-1638875320539.jpg
Brian Ashcraft,technology,"Today, Sony held an online event called Sony Technology Day to showcase different technology that the company is developing. One presentation showed Sonys prototype for an 8K VR headset. 
The protot… [+2368 chars]",usa,The Tokyo-based electronics giant revealed its latest VR tech,2021-12-07T11:30:00Z,Kotaku,Sony Shows The Future Of Next-Gen VR With Prototype Headset - Kotaku,https://kotaku.com/sony-shows-the-future-of-next-gen-vr-with-prototype-hea-1848171408,"https://i.kinja-img.com/gawker-media/image/upload/c_fill,f_auto,fl_progressive,g_center,h_675,pg_1,q_80,w_1200/147353c466801f75cd3d356027b5575c.jpg"
,technology,"<ul><li>Google has announced that its teaming up with Pluto TV for Google TV.</li><li>This will see over 300 ad-supported online channels coming to the TV and streaming box platform.</li></ul>
We fi… [+1396 chars]",usa,Google has teamed up with Pluto TV to bring over 300 online channels to the Google TV platform. Here's what you should know.,2021-12-07T10:25:10Z,Android Authority,Google partners with Pluto TV to bring 300 free channels to Google TV - Android Authority,https://www.androidauthority.com/google-tv-pluto-tv-3072019/,https://cdn57.androidauthority.net/wp-content/uploads/2020/09/Google-Chromecast-with-Google-TV-movies-tab.jpg
,technology,"Yet another PS5 restock is dropping today, December 8, at PlayStation Direct, but you’ll need an email invite to get a console!
Gamers have struggled for well over a year now to buy a PS5. However, … [+1991 chars]",usa,"Yet another PS5 restock is dropping today, December 8, at PlayStation Direct, but you'll need an email invite to get a console!",2021-12-07T09:16:25Z,Gaming INTEL,PlayStation Direct Invite-Only PS5 Restock Happening on December 8 - Gaming INTEL,https://gamingintel.com/playstation-direct-invite-only-ps5-restock-happening-on-december-8/,https://gamingintel.com/wp-content/uploads/2021/12/PlayStation-Direct-Invite-Only-PS5-Restock-Happening-on-December-8.jpg
,technology,"Nearly six months after its last update, the Chromecast with Google TV is getting a handful of performance improvements today.
QTS1.210311.036 is still on Android 10 despite Android TV 12 recently g… [+1304 chars]",usa,"Nearly six months after its last update, the Chromecast with Google TV is getting a handful of performance improvements today...",2021-12-07T08:53:00Z,9to5google.com,"December Chromecast with Google TV update improves Dolby Vision playback, storage, and more - 9to5Google",https://9to5google.com/2021/12/07/chromecast-google-tv-update-dec-2021/,https://i2.wp.com/9to5google.com/wp-content/uploads/sites/4/2021/06/Chromecast-with-Google-TV-1.jpg?resize=1200%2C628&quality=82&strip=all&ssl=1
Pranob Mehrotra,technology,"Google is rolling out a firmware update to its affordable TWS earbuds — the Pixel Buds A-Series. The update brings several new features to the earbuds, including a Bass slider in the companion app, a… [+1545 chars]",usa,"Google is rolling out a new firmware update for the affordable Pixel Buds A-Series, bringing a couple of new features to the earbuds.",2021-12-07T07:56:00Z,XDA Developers,Latest Pixel Buds A-Series update brings a few new features - XDA Developers,https://www.xda-developers.com/pixel-buds-a-series-update-new-features/,https://www.xda-developers.com/files/2021/09/Pixel-Buds-A-5.jpg
,technology,,usa,"Police say they have seen at least five incidents where thieves used tracking devices, like Apple's AirTag, to track cars parked in public area in order to s...",2021-12-07T05:29:20Z,YouTube,Apple AirTags being used by car thieves - FOX 11 Los Angeles,https://www.youtube.com/watch?v=s17FkltJjT0,https://i.ytimg.com/vi/s17FkltJjT0/hqdefault.jpg
Hassan Mujtaba,technology,"A month later, Microsoft and Intel have fixed the DRM issues encountered on Windows 11 with 12th Gen Alder Lake CPUs for the majority of games. Right now, there are only three games that are still af… [+2419 chars]",usa,"A month later, Microsoft and Intel have fixed the DRM issues encountered on Windows 11 with 12th Gen Alder Lake CPUs for the majority of games. Right now, there are only three games that are still affected by the issue which is still a huge improvement from t…",2021-12-07T04:40:00Z,Wccftech,Intel & Microsoft Fix Majority of Games Affected By 12th Gen Alder Lake DRM Issue on Windows 11 - Wccftech,https://wccftech.com/intel-microsoft-fix-majority-of-games-affected-by-12th-gen-alder-lake-drm-issue-on-windows-11/,https://cdn.wccftech.com/wp-content/uploads/2021/10/21ADL_Chip_Angle_7_Color_BKG_3000-Pixels-scaled.jpg
Alan Friedman,technology,"This is our new notification center.
 Inside, you will find updates on the most important things happening right now.
Got it",usa,Images of an aluminum dummy unit allegedly show hot the mid-range Google Pixel 6a will carry the same design as the Pixel 6. The Pixel 6a could be equipped with a 6.2-inch display.,2021-12-07T04:16:47Z,PhoneArena,5G Pixel 6a dummy shows up for pictures dressed in aluminum - PhoneArena,https://www.phonearena.com/news/5g-pixel-6a-aluminum-dummy-unit_id136923,https://m-cdn.phonearena.com/images/article/136923-wide-two_1200/5G-Pixel-6a-dummy-shows-up-for-pictures-dressed-in-aluminum.jpg
,technology,"One of the main highlights of the new 2021 MacBook Pro is the comeback of the SD card slot. Unfortunately, it seems that some users are having issues with the SD card reader on these new machines, as… [+2107 chars]",usa,Users have been reporting slow transfer speeds or even inaccessible files when trying to use an SD card on the new MacBook Pro.,2021-12-07T02:25:00Z,9to5Mac,2021 MacBook Pro users reporting multiple issues with the SD card reader - 9to5Mac,https://9to5mac.com/2021/12/06/2021-macbook-pro-users-reporting-multiple-issues-with-the-sd-card-reader/,https://i1.wp.com/9to5mac.com/wp-content/uploads/sites/6/2021/10/MacBook-Pro-USB-C-ports-dont-support-fast-charging.jpg?resize=1200%2C628&quality=82&strip=all&ssl=1
Keshav Bhat,technology,"The Cooper Carbine Assault Rifle was added to Vanguard with the Season 1 patch, and we’ve got the best attachments and Perks to create the best Cooper Carbine loadout. 
Vanguard Season 1 brings a ho… [+2819 chars]",usa,"CoD Vanguard's December 9 update will include weapon balancing changes, including sniper adjustments and more.",2021-12-07T01:30:00Z,CharlieINTEL.com,"CoD Vanguard December 9 update patch notes: weapon balancing, spawns, more - CharlieINTEL.com",https://charlieintel.com/cod-vanguard-december-9-update-patch-notes/152839/,https://cdn.charlieintel.com/wp-content/uploads/2021/12/06172554/VGD-S1-ANNOUNCEMENT-004-1000x600.jpg
